Year,Month,Day,AreaCode,CatchKG,DiscardedKG,Vessel_ID
2014,10,22,7,,,24869
2014,10,22,9,,,23229
2014,10,21,3,,4956.85,310988
2014,10,21,3,,67.59,312405
2014,10,21,4,,294.83,30741
2014,10,21,7,,,24869
2014,10,20,1,,2.27,22284
2014,10,20,3,,19.96,310988
2014,10,20,3,,44.45,312275
2014,10,20,3,,12.7,312405
2014,10,20,4,,9.07,29560
2014,10,20,4,,816.47,30741
2014,10,20,5,2358.62,,23276
2014,10,20,5,,1406.13,30741
2014,10,20,6,,,23670
2014,10,20,8,,,24893
2014,10,20,8,,,28753
2014,10,20,9,,2.72,22252
2014,10,20,9,,,23229
2014,10,20,9,,,23285
2014,10,20,9,,,24013
2014,10,20,9,,,24893
2014,10,20,9,,,27080
2014,10,20,9,,31.75,30629
2014,10,19,3,,790.16,310988
2014,10,19,9,,,20816
2014,10,19,9,,,21449
2014,10,19,9,,,23229
2014,10,19,9,,,23285
2014,10,19,9,,,24013
2014,10,18,3,,16.78,310988
2014,10,18,5,,272.16,30741
2014,10,18,6,,,23670
2014,10,17,5,,1154.39,30741
2014,10,17,6,,,23670
2014,10,17,9,,,20816
2014,10,17,9,,,23229
2014,10,17,9,,,24013
2014,10,16,9,,,23285
2014,10,16,9,,,24013
2014,10,16,9,,,27080
2014,10,16,9,,22.68,30629
2014,10,15,1,,,23276
2014,10,15,1,,1.81,24097
2014,10,15,3,,415.04,310988
2014,10,15,3,,21.77,312405
2014,10,15,5,,22.68,30741
2014,10,15,8,,,28753
2014,10,15,9,,,23229
2014,10,15,9,,,24013
2014,10,15,9,,,27080
2014,10,14,1,,,23276
2014,10,14,3,,69.4,29456
2014,10,14,3,,623.69,310988
2014,10,14,4,,,23734
2014,10,14,4,,2812.27,30741
2014,10,14,6,,,311465
2014,10,14,9,,,23229
2014,10,14,9,,,24013
2014,10,13,3,,9.07,312275
2014,10,13,4,,1632.93,30741
2014,10,13,9,,,27080
2014,10,12,3,,4.54,312275
2014,10,12,4,,,23734
2014,10,12,6,,,27728
2014,10,12,8,,,25688
2014,10,12,9,,,27080
2014,10,11,3,,,23734
2014,10,11,3,,5.44,312275
2014,10,11,4,,,23734
2014,10,11,4,,,310026
2014,10,11,8,,,311405
